metro_2006_07,metro_2007_08,metro_2008_09,metro_2009_10,metro_2010_11,metro_2011_12,metro_2012_13,metro_2013_14,metro_2014_15,metro_2015_16,metro_2016_17,metro_2017_18,metro_arts_abc_1988_89,metro_arts_abc_1989_90,metro_arts_abc_1990_91,metro_arts_abc_1991_92,metro_arts_abc_1992_93,metro_arts_abc_1993_94,metro_arts_abc_1994_95,metro_arts_abc_1995_96,metro_arts_abc_1996_97,metro_arts_abc_1997_98,metro_arts_abc_1998_99,metro_arts_abc_1999_00,metro_arts_abc_2000_01,metro_arts_abc_2001_02,metro_arts_abc_2002_03,metro_arts_abc_2003_04,metro_arts_abc_2004_05,metro_arts_abc_2005_06,organization,thrive_2014_15,thrive_2015_16,thrive_2016_17,thrive_2017_18,totals
0,0,0,1500,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Discover Madison,0,0,0,0,2900
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",3500,0,0,0,3500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drum and a Dream,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drumnastics,0,0,0,4000,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EarthTone,2500,0,0,0,2500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,East Nashville Center For Creative Arts,0,0,0,0,24000
0,0,0,0,0,0,0,0,1980,2512,4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Nashville Hope Exchange,0,0,0,0,8742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eco Poetic Way,0,0,0,3000,3000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,8000,25000,25000,10000,7000,10260,11000,0,8000,3000,0,0,0,0,Edgehill Center,0,0,0,0,109060
0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edgehill United Methodist Church,0,0,0,0,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Educating Our Youth,2000,0,0,0,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,End of Rodney Productions,0,0,0,0,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,Epiphany,0,0,0,0,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Facing Nashville,0,4000,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faith and Culture Center,0,0,3825,0,3825
0,0,0,0,0,0,0,0,0,0,0,0,0,4000,2000,0,0,0,2000,1000,2500,0,3500,3485,5000,5000,5262,6500,14800,0,Family & Children's Services,0,0,0,0,55047
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,L.A.S. Therapy Network,0,0,0,0,2000
0,1000,0,5000,3500,4500,4000,3650,3300,0,3900,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,16026,FiftyForward,0,0,0,0,46876
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,"Fisk University, Department of Music",0,0,0,0,2500
0,0,0,0,0,0,0,0,0,0,0,0,2500,2000,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fisk University, T.O.P.S.",0,0,0,0,6180
0,0,0,0,0,0,0,0,0,0,0,0,3000,8000,8000,7000,4900,7500,10000,7500,15000,0,14200,0,0,0,0,0,0,0,"Fisk University, Van Vechten Gallery",0,0,0,0,85100
0,0,0,3900,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flatrock Heritage Foundation,0,0,0,0,5700
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,Friends of Centennial Park & Parthenon,0,0,0,0,1500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,Friends of Warner Parks,0,0,0,0,1000
284342,263832,228101,180000,174000,156500,150240,129000,125500,130500,152475,158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,165000,228478,297025,Frist Center for the Visual Arts,0,0,0,0,2830993
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,From Nashville to the World,0,0,0,8000,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,Girl Scout Council,0,0,0,0,5000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girls Write Nashville,0,0,2850,0,2850
26589,16050,24591,20000,15500,26500,24000,27000,29491,30195,45455,56500,0,0,0,0,0,0,0,0,0,0,0,0,19945,34000,30873,31000,41000,24413,Global Education Center,0,0,0,0,523102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Global Nashville: Building Bridges of Compassion,0,0,0,4000,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,Gordon Jewish Community Center,0,0,0,0,20000
2982,5498,6388,4400,6400,5800,4250,3400,3531,2870,4340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand Master Fiddler Championship,0,0,0,0,49859
0,0,0,0,0,0,0,0,0,0,0,0,0,10000,8400,8000,30000,30000,0,7000,0,0,0,0,0,0,0,0,0,0,Greater Nashville Arts Foundation,0,0,0,0,93400
1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Green Room Project,0,0,0,0,1159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hands on with Zig,0,0,4000,0,4000
0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Handweavers Guild,0,0,0,0,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy Healthy Creative Whole Me,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harriet Beecher Stowe: A Literary Soldier,0,0,3000,0,3000
0,0,0,0,0,0,0,9400,10237,9120,12285,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healing Arts Project Inc. (HAPI),0,0,0,0,57042
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henna Art and Bollywood Junction,0,4000,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hijab Ballet Showcase,0,0,0,4000,4000
0,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historic Germantown,0,0,0,0,2444
0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historic Nashville,0,0,0,0,1500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,History Alive!,0,0,4000,0,4000
0,26539,31971,35600,21500,0,0,30000,30000,30000,0,94500,0,10000,3000,2000,10000,18000,15000,20000,25000,25000,18750,15000,14945,25000,22546,20000,0,16822,Humanities Tennessee (formerly Tennessee Humanities Council),0,0,3000,0,564173
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2371,Ideaprov,0,0,0,0,3371
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Impressions Temporary Mural Project,0,0,0,8000,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Painting with Sabita,0,0,4000,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insight Salons,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,International Folk Dancing,0,0,0,4000,4000
0,0,0,0,0,0,0,0,0,0,0,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intersection,2500,0,0,0,11700
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAI 2 HYPE - Just and Idea Arts Academy,0,0,4000,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson Street Art Crawl,0,0,4000,0,4000
0,3259,3476,4500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson Street United Merchants Partnership (JUMP),0,0,0,0,15235
0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Work Memorial Foundation,0,0,0,0,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,Kids on the Block,0,0,0,0,3000
2042,1263,2586,5700,2500,2700,2850,2750,0,0,0,0,0,0,0,1000,2400,0,5184,2000,2000,3000,3500,4000,1500,5000,3250,2000,7500,3463,Lakewood Theatre Company,0,0,0,0,68188
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,10000,7000,0,0,0,0,0,0,0,0,Leonard Bernstein Center,0,0,0,0,34500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lionheart Wellness Class and Dance-a-thon,3500,0,0,0,3500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,1000,0,0,Lipscomb University,0,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,Live Music in America,0,0,0,0,3000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Living Photo: Celebrating 100 Years of Old Hickory,0,0,0,4000,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local's Cut: Edgehill Village,4000,0,0,0,4000
0,0,0,11000,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Boys Foundation,0,0,0,0,21600
